hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 312.143, -41.6523, 249.128, -93.1326, 306.53, -120.282
2, 0.00000, 293.672, -53.0595, 233.672, -101.93, 288.857, -133.391
3, 0.00000, 269.293, -65.2221, 214.695, -110.999, 269.468, -149.842
4, 0.00000, 255.397, -75.5296, 202.821, -118.458, 253.28, -160.543
5, 0.00000, 246.119, -81.9583, 191.939, -125.615, 243.347, -166.897
6, 0.00000, 256.144, -69.0022, 201.822, -116.786, 263.59, -157.464
7, 0.00000, 304.691, -41.1762, 230.398, -104.145, 305.548, -119.052
8, 0.00000, 348.913, -10.7148, 253.029, -89.5821, 342.502, -79.5266
9, 0.00000, 401.794, 22.8705, 261.92, -86.8632, 375.426, -22.5263
10, 0.00000, 417.775, 47.1678, 298.89, -48.6856, 399.109, -5.47115
11, 0.00000, 380.8, 34.9114, 260.782, -63.5553, 371.69, -23.3466
12, 0.00000, 451.759, 91.6866, 314.382, -27.1788, 453.878, 36.5757
